Clicks,Impressions,Position,BounceRate,ViewDepth,TimeSpent,RobotsVisits,Mobility,Segments,Title Length,Meta Description Length,H1 Length,Word Count,Sentence Count,Folder Depth,Link Score,Inlinks,Outlinks,Response Time
26,411,7,0,2.16,00:01:45,0,0.8,catalog,105,195,29,4723,2272,3,1,97,1467,3.656
20,226,12.6,0,2.5,00:03:12,0,0.8125,catalog,105,195,29,1868,925,3,1,42,192,2.01
16,1097,13.7,0,2.307692308,00:01:00,0,0.923076923,catalog,87,186,20,3552,1784,4,1,40,220,3.357
12,323,7.2,0,1.4,00:00:28,0,0.85,catalog,86,185,20,841,357,3,1,47,188,1.512
8,339,9.7,0,1.5,00:00:35,0,0.9,product,169,232,76,924,350,3,1,97,65,1.552
4,605,10.5,0,1.3,00:00:50,0,0.6,brands,81,210,7,829,305,3,1,309,169,0.967
2,102,9.3,0,2.133333333,00:00:47,0,0.466666667,catalog,105,195,29,1885,933,3,1,41,194,2.474
1,26,11.7,0,1.684210526,00:00:24,10,0.263157895,catalog,100,192,27,600,265,4,1,31,175,1.122
0,32,6.6,0,1,00:00:14,6,0.7,catalog,81,183,17,867,372,3,1,43,203,1.424
10,532,14.5,0.028268551,1.385159011,00:01:03,173,0.731448763,brands,80,140,6,872,324,3,2,740,198,0.744
23,210,11.3,0.043478261,2.086956522,00:00:46,0,0.782608696,catalog,105,195,29,1900,936,3,1,43,196,2.041
5,4892,27.4,0.04787234,1.361702128,00:00:57,124,0.803191489,catalog,130,120,6,1829,658,2,53,21045,286,1.228
15,936,21.2,0.049180328,1.532786885,00:00:55,144,0.696721311,brands,167,253,50,1128,366,3,6,3858,197,0.697
21,556,6.2,0.05,1.4,00:00:28,1,0.9,catalog,74,180,13,3687,1869,3,1,60,220,2.998
99,12034,26.2,0.05451448,1.258943782,00:00:45,382,0.759795571,catalog,115,171,34,1717,786,3,1,53,227,1.657
25,740,4.9,0.058823529,1.470588235,00:00:26,0,0.882352941,catalog,93,189,23,3741,1864,4,1,39,216,3.618
41,2206,22.2,0.06122449,1.918367347,00:01:07,0,0.714285714,catalog,92,189,22,3553,1778,4,1,35,192,3.214
14,383,4.9,0.0625,1.4375,00:00:55,0,0.9375,unkown,82,195,29,3629,366,3,1,31,191,3.486
38,703,5.1,0.068965517,1.862068966,00:01:12,0,0.862068966,unkown,82,195,29,3629,366,3,1,31,191,3.486
17,608,8.2,0.071428571,1.5,00:00:27,0,0.928571429,catalog,81,178,22,991,397,3,1,41,191,1.311
13,1251,9.6,0.079681275,1.250996016,00:00:52,142,0.705179283,catalog,85,189,24,600,265,4,1,29,176,1.103
9,253,8.8,0.08,1.68,00:02:12,0,0.48,product,129,228,46,949,366,3,1,119,74,1.504
